config,timesteps_label,task_name,success_rate,avg_return,std_return,avg_episode_length,std_episode_length,avg_first_success_step,median_first_success_step,episodes,experiment,source_file
base,15M,button-press-v3,1.0,53.19555444700818,7.71139289142211,36.62,1.6302737936127385,36.62,36.0,300,all3_no_basket,all3_no_basket_eval_results\all3_no_basket_summary.csv
base,15M,pick-place-v3,0.0,4.251095730455203,1.0777342180054166,500.0,0.0,,,300,all3_no_basket,all3_no_basket_eval_results\all3_no_basket_summary.csv
base,15M,push-v3,0.9066666666666666,136.88388208810727,54.28124281136474,82.14666666666666,134.7835319708011,39.13235294117647,37.0,300,all3_no_basket,all3_no_basket_eval_results\all3_no_basket_summary.csv
careful,15M,button-press-v3,1.0,61.74662774067299,5.482865621253181,37.23333333333333,1.6333344709117137,37.23333333333333,37.0,300,all3_no_basket,all3_no_basket_eval_results\all3_no_basket_summary.csv
careful,15M,pick-place-v3,0.0,2.6072704690971045,0.6166513119387385,500.0,0.0,,,300,all3_no_basket,all3_no_basket_eval_results\all3_no_basket_summary.csv
careful,15M,push-v3,0.9933333333333332,133.93909671034012,30.345151248290588,40.27333333333333,38.027959554981024,37.18791946308725,37.0,300,all3_no_basket,all3_no_basket_eval_results\all3_no_basket_summary.csv
explore,15M,button-press-v3,1.0,55.674058011657735,8.923622898665338,36.96,1.7421779319255242,36.96,37.0,300,all3_no_basket,all3_no_basket_eval_results\all3_no_basket_summary.csv
explore,15M,pick-place-v3,0.0,3.8304554016068977,0.6354974485830015,500.0,0.0,,,300,all3_no_basket,all3_no_basket_eval_results\all3_no_basket_summary.csv
explore,15M,push-v3,0.8866666666666667,167.05547241270898,84.76123147922003,115.15333333333334,150.32374145948074,65.9624060150376,45.0,300,all3_no_basket,all3_no_basket_eval_results\all3_no_basket_summary.csv
base,15M,basketball-v3,0.0,2.1962386323434284,0.7566535616347152,500.0,0.0,,,300,all3_no_pickplace,all3_no_pickplace_eval_results\all3_no_pickplace_summary.csv
base,15M,button-press-v3,1.0,59.403866961194765,7.056701059676855,37.906666666666666,1.9366096868374725,37.906666666666666,38.0,300,all3_no_pickplace,all3_no_pickplace_eval_results\all3_no_pickplace_summary.csv
base,15M,push-v3,0.7466666666666667,130.62618012030828,62.02351855783304,156.85333333333332,201.2059091623014,40.42857142857143,35.0,300,all3_no_pickplace,all3_no_pickplace_eval_results\all3_no_pickplace_summary.csv
careful,15M,basketball-v3,0.0,2.617597642453888,0.4696115543194609,500.0,0.0,,,300,all3_no_pickplace,all3_no_pickplace_eval_results\all3_no_pickplace_summary.csv
careful,15M,button-press-v3,1.0,62.41820666282075,5.431720831207611,37.22666666666667,1.6157529972273157,37.22666666666667,37.0,300,all3_no_pickplace,all3_no_pickplace_eval_results\all3_no_pickplace_summary.csv
careful,15M,push-v3,1.0,129.58828043567473,28.574741362661204,36.54666666666667,3.919911722892898,36.54666666666667,36.0,300,all3_no_pickplace,all3_no_pickplace_eval_results\all3_no_pickplace_summary.csv
explore,15M,basketball-v3,0.0,35.136675409369474,2.769749208258052,500.0,0.0,,,300,all3_no_pickplace,all3_no_pickplace_eval_results\all3_no_pickplace_summary.csv
explore,15M,button-press-v3,1.0,58.33750224221264,6.430622290528846,37.10666666666667,1.7886549445297877,37.10666666666667,37.0,300,all3_no_pickplace,all3_no_pickplace_eval_results\all3_no_pickplace_summary.csv
explore,15M,push-v3,0.0,25.86749538060048,0.4272204252623005,500.0,0.0,,,300,all3_no_pickplace,all3_no_pickplace_eval_results\all3_no_pickplace_summary.csv
base,15M,basketball-v3,0.0,23.35506439025838,8.022341283313086,500.0,0.0,,,300,all3_no_push,all3_no_push_eval_results\all3_no_push_summary.csv
base,15M,button-press-v3,1.0,60.85300218008047,6.922872420773743,37.126666666666665,1.7360881975448144,37.126666666666665,37.0,300,all3_no_push,all3_no_push_eval_results\all3_no_push_summary.csv
base,15M,pick-place-v3,0.0,4.284047363782071,2.4124719242797767,500.0,0.0,,,300,all3_no_push,all3_no_push_eval_results\all3_no_push_summary.csv
careful,15M,basketball-v3,0.0,16.139414873949992,8.074898987646355,500.0,0.0,,,300,all3_no_push,all3_no_push_eval_results\all3_no_push_summary.csv
careful,15M,button-press-v3,1.0,64.4748172976364,10.083915344345584,37.586666666666666,2.459536532643276,37.586666666666666,37.0,300,all3_no_push,all3_no_push_eval_results\all3_no_push_summary.csv
careful,15M,pick-place-v3,0.0,3.5938391221509582,1.087594624772276,500.0,0.0,,,300,all3_no_push,all3_no_push_eval_results\all3_no_push_summary.csv
explore,15M,basketball-v3,0.0,16.220408922023292,49.96495043224911,500.0,0.0,,,300,all3_no_push,all3_no_push_eval_results\all3_no_push_summary.csv
explore,15M,button-press-v3,1.0,64.96721310748602,10.284006452802688,38.00666666666667,2.011660545267726,38.00666666666667,38.0,300,all3_no_push,all3_no_push_eval_results\all3_no_push_summary.csv
explore,15M,pick-place-v3,0.0,7.482025531443821,0.6276336140432509,500.0,0.0,,,300,all3_no_push,all3_no_push_eval_results\all3_no_push_summary.csv
